-8.12892e-11	2.16909e+06	0
-nan	-nan	10
-nan	-nan	20
-nan	-nan	30
-nan	-nan	40
-nan	-nan	50
-nan	-nan	60
-nan	-nan	70
-nan	-nan	80
-nan	-nan	90
-nan	-nan	100
-nan	-nan	110
-nan	-nan	120
-nan	-nan	130
-nan	-nan	140
-nan	-nan	150
-nan	-nan	160
-nan	-nan	170
-nan	-nan	180
-nan	-nan	190
-nan	-nan	200
-nan	-nan	210
-nan	-nan	220
-nan	-nan	230
-nan	-nan	240
-nan	-nan	250
-nan	-nan	260
-nan	-nan	270
-nan	-nan	280
-nan	-nan	290
-nan	-nan	300
-nan	-nan	310
-nan	-nan	320
-nan	-nan	330
-nan	-nan	340
-nan	-nan	350
-nan	-nan	360
-nan	-nan	370
-nan	-nan	380
-nan	-nan	390
-nan	-nan	400
-nan	-nan	410
-nan	-nan	420
-nan	-nan	430
-nan	-nan	440
-nan	-nan	450
-nan	-nan	460
-nan	-nan	470
-nan	-nan	480
-nan	-nan	490
-nan	-nan	500
-nan	-nan	510
-nan	-nan	520
-nan	-nan	530
-nan	-nan	540
-nan	-nan	550
-nan	-nan	560
-nan	-nan	570
-nan	-nan	580
-nan	-nan	590
-nan	-nan	600
-nan	-nan	610
-nan	-nan	620
-nan	-nan	630
-nan	-nan	640
-nan	-nan	650
-nan	-nan	660
-nan	-nan	670
-nan	-nan	680
-nan	-nan	690
-nan	-nan	700
-nan	-nan	710
-nan	-nan	720
-nan	-nan	730
-nan	-nan	740
-nan	-nan	750
-nan	-nan	760
-nan	-nan	770
-nan	-nan	780
-nan	-nan	790
-nan	-nan	800
-nan	-nan	810
-nan	-nan	820
-nan	-nan	830
-nan	-nan	840
-nan	-nan	850
-nan	-nan	860
-nan	-nan	870
-nan	-nan	880
-nan	-nan	890
-nan	-nan	900
-nan	-nan	910
-nan	-nan	920
-nan	-nan	930
-nan	-nan	940
-nan	-nan	950
-nan	-nan	960
-nan	-nan	970
-nan	-nan	980
-nan	-nan	990
-nan	-nan	1000
-nan	-nan	1010
-nan	-nan	1020
-nan	-nan	1030
-nan	-nan	1040
-nan	-nan	1050
-nan	-nan	1060
-nan	-nan	1070
-nan	-nan	1080
-nan	-nan	1090
-nan	-nan	1100
-nan	-nan	1110
-nan	-nan	1120
-nan	-nan	1130
-nan	-nan	1140
-nan	-nan	1150
-nan	-nan	1160
-nan	-nan	1170
-nan	-nan	1180
-nan	-nan	1190
-nan	-nan	1200
-nan	-nan	1210
-nan	-nan	1220
-nan	-nan	1230
-nan	-nan	1240
-nan	-nan	1250
-nan	-nan	1260
-nan	-nan	1270
-nan	-nan	1280
-nan	-nan	1290
-nan	-nan	1300
-nan	-nan	1310
-nan	-nan	1320
-nan	-nan	1330
-nan	-nan	1340
-nan	-nan	1350
-nan	-nan	1360
-nan	-nan	1370
-nan	-nan	1380
-nan	-nan	1390
-nan	-nan	1400
-nan	-nan	1410
-nan	-nan	1420
-nan	-nan	1430
-nan	-nan	1440
-nan	-nan	1450
-nan	-nan	1460
-nan	-nan	1470
-nan	-nan	1480
-nan	-nan	1490
-nan	-nan	1500
-nan	-nan	1510
-nan	-nan	1520
-nan	-nan	1530
-nan	-nan	1540
-nan	-nan	1550
-nan	-nan	1560
-nan	-nan	1570
-nan	-nan	1580
-nan	-nan	1590
-nan	-nan	1600
-nan	-nan	1610
-nan	-nan	1620
-nan	-nan	1630
-nan	-nan	1640
-nan	-nan	1650
-nan	-nan	1660
-nan	-nan	1670
-nan	-nan	1680
-nan	-nan	1690
-nan	-nan	1700
-nan	-nan	1710
-nan	-nan	1720
-nan	-nan	1730
-nan	-nan	1740
-nan	-nan	1750
-nan	-nan	1760
-nan	-nan	1770
-nan	-nan	1780
-nan	-nan	1790
-nan	-nan	1800
-nan	-nan	1810
-nan	-nan	1820
-nan	-nan	1830
-nan	-nan	1840
-nan	-nan	1850
-nan	-nan	1860
-nan	-nan	1870
-nan	-nan	1880
-nan	-nan	1890
-nan	-nan	1900
-nan	-nan	1910
-nan	-nan	1920
-nan	-nan	1930
-nan	-nan	1940
-nan	-nan	1950
-nan	-nan	1960
-nan	-nan	1970
-nan	-nan	1980
-nan	-nan	1990
-nan	-nan	2000
-nan	-nan	2010
-nan	-nan	2020
-nan	-nan	2030
-nan	-nan	2040
-nan	-nan	2050
-nan	-nan	2060
-nan	-nan	2070
-nan	-nan	2080
-nan	-nan	2090
-nan	-nan	2100
-nan	-nan	2110
-nan	-nan	2120
-nan	-nan	2130
-nan	-nan	2140
-nan	-nan	2150
-nan	-nan	2160
-nan	-nan	2170
-nan	-nan	2180
-nan	-nan	2190
-nan	-nan	2200
-nan	-nan	2210
-nan	-nan	2220
-nan	-nan	2230
-nan	-nan	2240
-nan	-nan	2250
-nan	-nan	2260
-nan	-nan	2270
-nan	-nan	2280
-nan	-nan	2290
-nan	-nan	2300
-nan	-nan	2310
-nan	-nan	2320
-nan	-nan	2330
-nan	-nan	2340
-nan	-nan	2350
-nan	-nan	2360
-nan	-nan	2370
-nan	-nan	2380
-nan	-nan	2390
-nan	-nan	2400
-nan	-nan	2410
-nan	-nan	2420
-nan	-nan	2430
-nan	-nan	2440
-nan	-nan	2450
-nan	-nan	2460
-nan	-nan	2470
-nan	-nan	2480
-nan	-nan	2490
-nan	-nan	2500
-nan	-nan	2510
-nan	-nan	2520
-nan	-nan	2530
-nan	-nan	2540
-nan	-nan	2550
-nan	-nan	2560
-nan	-nan	2570
-nan	-nan	2580
-nan	-nan	2590
-nan	-nan	2600
-nan	-nan	2610
-nan	-nan	2620
-nan	-nan	2630
-nan	-nan	2640
-nan	-nan	2650
-nan	-nan	2660
-nan	-nan	2670
-nan	-nan	2680
-nan	-nan	2690
-nan	-nan	2700
-nan	-nan	2710
-nan	-nan	2720
-nan	-nan	2730
-nan	-nan	2740
-nan	-nan	2750
-nan	-nan	2760
-nan	-nan	2770
-nan	-nan	2780
-nan	-nan	2790
-nan	-nan	2800
-nan	-nan	2810
-nan	-nan	2820
-nan	-nan	2830
-nan	-nan	2840
-nan	-nan	2850
-nan	-nan	2860
-nan	-nan	2870
-nan	-nan	2880
-nan	-nan	2890
-nan	-nan	2900
-nan	-nan	2910
-nan	-nan	2920
-nan	-nan	2930
-nan	-nan	2940
-nan	-nan	2950
-nan	-nan	2960
-nan	-nan	2970
-nan	-nan	2980
-nan	-nan	2990
-nan	-nan	3000
-nan	-nan	3010
-nan	-nan	3020
-nan	-nan	3030
-nan	-nan	3040
-nan	-nan	3050
-nan	-nan	3060
-nan	-nan	3070
-nan	-nan	3080
-nan	-nan	3090
-nan	-nan	3100
-nan	-nan	3110
-nan	-nan	3120
-nan	-nan	3130
-nan	-nan	3140
-nan	-nan	3150
-nan	-nan	3160
-nan	-nan	3170
-nan	-nan	3180
-nan	-nan	3190
-nan	-nan	3200
-nan	-nan	3210
-nan	-nan	3220
-nan	-nan	3230
-nan	-nan	3240
-nan	-nan	3250
-nan	-nan	3260
-nan	-nan	3270
-nan	-nan	3280
-nan	-nan	3290
-nan	-nan	3300
-nan	-nan	3310
-nan	-nan	3320
-nan	-nan	3330
-nan	-nan	3340
-nan	-nan	3350
-nan	-nan	3360
-nan	-nan	3370
-nan	-nan	3380
-nan	-nan	3390
-nan	-nan	3400
-nan	-nan	3410
-nan	-nan	3420
-nan	-nan	3430
-nan	-nan	3440
-nan	-nan	3450
-nan	-nan	3460
-nan	-nan	3470
-nan	-nan	3480
-nan	-nan	3490
-nan	-nan	3500
-nan	-nan	3510
-nan	-nan	3520
-nan	-nan	3530
-nan	-nan	3540
-nan	-nan	3550
-nan	-nan	3560
-nan	-nan	3570
-nan	-nan	3580
-nan	-nan	3590
-nan	-nan	3600
-nan	-nan	3610
-nan	-nan	3620
-nan	-nan	3630
-nan	-nan	3640
-nan	-nan	3650
-nan	-nan	3660
-nan	-nan	3670
-nan	-nan	3680
-nan	-nan	3690
-nan	-nan	3700
-nan	-nan	3710
-nan	-nan	3720
-nan	-nan	3730
-nan	-nan	3740
-nan	-nan	3750
-nan	-nan	3760
-nan	-nan	3770
-nan	-nan	3780
-nan	-nan	3790
-nan	-nan	3800
-nan	-nan	3810
-nan	-nan	3820
-nan	-nan	3830
-nan	-nan	3840
-nan	-nan	3850
-nan	-nan	3860
-nan	-nan	3870
-nan	-nan	3880
-nan	-nan	3890
-nan	-nan	3900
-nan	-nan	3910
-nan	-nan	3920
-nan	-nan	3930
-nan	-nan	3940
-nan	-nan	3950
-nan	-nan	3960
-nan	-nan	3970
-nan	-nan	3980
-nan	-nan	3990
-nan	-nan	4000
-nan	-nan	4010
-nan	-nan	4020
-nan	-nan	4030
-nan	-nan	4040
-nan	-nan	4050
-nan	-nan	4060
-nan	-nan	4070
-nan	-nan	4080
