6.93453e-19	0.0169192	0
7.56488e-19	2.22561	10
1.00011e-18	10.8386	20
2.23488e-18	53.8624	30
3.07947e-18	88.4258	40
1.92653e-18	44.1668	50
2.19991e-18	56.8125	60
3.35141e-18	94.908	70
4.98093e-18	156.027	80
4.93547e-18	154.884	90
6.45354e-18	204.448	100
7.5894e-18	261.803	110
8.45467e-08	4.58248e+12	120
2.35247e+20	1.27505e+40	130
2.35247e+20	1.27505e+40	140
2.35247e+20	1.27505e+40	150
-nan	-nan	160
-nan	-nan	170
-nan	-nan	180
-nan	-nan	190
-nan	-nan	200
-nan	-nan	210
-nan	-nan	220
-nan	-nan	230
-nan	-nan	240
-nan	-nan	250
-nan	-nan	260
-nan	-nan	270
-nan	-nan	280
-nan	-nan	290
-nan	-nan	300
-nan	-nan	310
-nan	-nan	320
-nan	-nan	330
-nan	-nan	340
-nan	-nan	350
-nan	-nan	360
-nan	-nan	370
-nan	-nan	380
-nan	-nan	390
-nan	-nan	400
-nan	-nan	410
-nan	-nan	420
-nan	-nan	430
-nan	-nan	440
-nan	-nan	450
-nan	-nan	460
-nan	-nan	470
-nan	-nan	480
-nan	-nan	490
-nan	-nan	500
-nan	-nan	510
-nan	-nan	520
-nan	-nan	530
-nan	-nan	540
-nan	-nan	550
-nan	-nan	560
-nan	-nan	570
-nan	-nan	580
-nan	-nan	590
-nan	-nan	600
-nan	-nan	610
-nan	-nan	620
-nan	-nan	630
-nan	-nan	640
-nan	-nan	650
-nan	-nan	660
-nan	-nan	670
-nan	-nan	680
-nan	-nan	690
-nan	-nan	700
-nan	-nan	710
-nan	-nan	720
-nan	-nan	730
-nan	-nan	740
-nan	-nan	750
-nan	-nan	760
-nan	-nan	770
-nan	-nan	780
-nan	-nan	790
-nan	-nan	800
-nan	-nan	810
-nan	-nan	820
-nan	-nan	830
-nan	-nan	840
-nan	-nan	850
-nan	-nan	860
-nan	-nan	870
-nan	-nan	880
-nan	-nan	890
-nan	-nan	900
-nan	-nan	910
-nan	-nan	920
-nan	-nan	930
-nan	-nan	940
-nan	-nan	950
-nan	-nan	960
-nan	-nan	970
-nan	-nan	980
-nan	-nan	990
-nan	-nan	1000
-nan	-nan	1010
-nan	-nan	1020
-nan	-nan	1030
-nan	-nan	1040
-nan	-nan	1050
-nan	-nan	1060
-nan	-nan	1070
-nan	-nan	1080
-nan	-nan	1090
-nan	-nan	1100
-nan	-nan	1110
-nan	-nan	1120
-nan	-nan	1130
-nan	-nan	1140
-nan	-nan	1150
-nan	-nan	1160
-nan	-nan	1170
-nan	-nan	1180
-nan	-nan	1190
-nan	-nan	1200
-nan	-nan	1210
-nan	-nan	1220
-nan	-nan	1230
-nan	-nan	1240
-nan	-nan	1250
-nan	-nan	1260
-nan	-nan	1270
-nan	-nan	1280
-nan	-nan	1290
-nan	-nan	1300
-nan	-nan	1310
-nan	-nan	1320
-nan	-nan	1330
-nan	-nan	1340
-nan	-nan	1350
-nan	-nan	1360
-nan	-nan	1370
-nan	-nan	1380
-nan	-nan	1390
-nan	-nan	1400
-nan	-nan	1410
-nan	-nan	1420
-nan	-nan	1430
-nan	-nan	1440
-nan	-nan	1450
-nan	-nan	1460
-nan	-nan	1470
-nan	-nan	1480
-nan	-nan	1490
-nan	-nan	1500
-nan	-nan	1510
-nan	-nan	1520
-nan	-nan	1530
-nan	-nan	1540
-nan	-nan	1550
-nan	-nan	1560
-nan	-nan	1570
-nan	-nan	1580
-nan	-nan	1590
-nan	-nan	1600
-nan	-nan	1610
-nan	-nan	1620
-nan	-nan	1630
-nan	-nan	1640
-nan	-nan	1650
-nan	-nan	1660
-nan	-nan	1670
-nan	-nan	1680
-nan	-nan	1690
-nan	-nan	1700
-nan	-nan	1710
-nan	-nan	1720
-nan	-nan	1730
-nan	-nan	1740
-nan	-nan	1750
-nan	-nan	1760
-nan	-nan	1770
-nan	-nan	1780
-nan	-nan	1790
-nan	-nan	1800
-nan	-nan	1810
-nan	-nan	1820
-nan	-nan	1830
-nan	-nan	1840
-nan	-nan	1850
-nan	-nan	1860
-nan	-nan	1870
-nan	-nan	1880
-nan	-nan	1890
-nan	-nan	1900
-nan	-nan	1910
-nan	-nan	1920
-nan	-nan	1930
-nan	-nan	1940
-nan	-nan	1950
-nan	-nan	1960
-nan	-nan	1970
-nan	-nan	1980
-nan	-nan	1990
-nan	-nan	2000
-nan	-nan	2010
-nan	-nan	2020
-nan	-nan	2030
-nan	-nan	2040
-nan	-nan	2050
-nan	-nan	2060
-nan	-nan	2070
-nan	-nan	2080
-nan	-nan	2090
-nan	-nan	2100
-nan	-nan	2110
-nan	-nan	2120
-nan	-nan	2130
-nan	-nan	2140
-nan	-nan	2150
-nan	-nan	2160
-nan	-nan	2170
-nan	-nan	2180
-nan	-nan	2190
-nan	-nan	2200
-nan	-nan	2210
-nan	-nan	2220
-nan	-nan	2230
-nan	-nan	2240
-nan	-nan	2250
-nan	-nan	2260
-nan	-nan	2270
-nan	-nan	2280
-nan	-nan	2290
